epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.3179,2.19907,0.52195,0.80861,1.94217,0.00332026,0.00332026,0.00332026
2,88.7136,2.09125,0.54073,0.82005,1.7783,0.00658772,0.00658772,0.00658772
3,125.289,1.93057,0.537,0.82179,1.76074,0.00978919,0.00978919,0.00978919
4,161.583,1.68952,0.63089,0.87551,1.39366,0.009703,0.009703,0.009703
5,198.148,1.35657,0.6544,0.89168,1.27633,0.009604,0.009604,0.009604
6,237.38,1.1104,0.7075,0.91655,1.06818,0.009505,0.009505,0.009505
7,275.608,0.98238,0.72864,0.92053,1.01068,0.009406,0.009406,0.009406
8,314.095,0.86775,0.74468,0.93409,0.92216,0.009307,0.009307,0.009307
9,351.781,0.77332,0.75078,0.93347,0.93781,0.009208,0.009208,0.009208
10,389.249,0.70252,0.75302,0.94279,0.90082,0.009109,0.009109,0.009109
11,426.556,0.65528,0.76247,0.93695,0.90834,0.00901,0.00901,0.00901
12,463.139,0.60028,0.79144,0.9464,0.77891,0.008911,0.008911,0.008911
13,500.674,0.54658,0.80463,0.95386,0.72578,0.008812,0.008812,0.008812
14,538.636,0.51389,0.78535,0.94702,0.80016,0.008713,0.008713,0.008713
15,576.445,0.49178,0.8055,0.95063,0.75034,0.008614,0.008614,0.008614
16,613.406,0.46035,0.80898,0.95249,0.71919,0.008515,0.008515,0.008515
17,650.914,0.44247,0.8106,0.95312,0.69903,0.008416,0.008416,0.008416
18,688.217,0.42307,0.80898,0.95821,0.70761,0.008317,0.008317,0.008317
19,724.779,0.39951,0.80811,0.95747,0.7087,0.008218,0.008218,0.008218
20,762.018,0.36074,0.81047,0.96058,0.70121,0.008119,0.008119,0.008119
21,799.5,0.34769,0.82142,0.95983,0.69521,0.00802,0.00802,0.00802
22,836.891,0.34622,0.81719,0.96045,0.68412,0.007921,0.007921,0.007921
23,873.578,0.32787,0.82937,0.96145,0.65332,0.007822,0.007822,0.007822
24,911.304,0.33375,0.82962,0.9602,0.66274,0.007723,0.007723,0.007723
25,948.601,0.32356,0.82303,0.9612,0.67435,0.007624,0.007624,0.007624
26,985.398,0.32093,0.82129,0.96145,0.67878,0.007525,0.007525,0.007525
27,1022.67,0.31379,0.82154,0.95933,0.68463,0.007426,0.007426,0.007426
28,1060.2,0.3083,0.83398,0.96543,0.62699,0.007327,0.007327,0.007327
29,1096.84,0.28469,0.83286,0.96356,0.64069,0.007228,0.007228,0.007228
30,1135.5,0.25723,0.83422,0.96406,0.63109,0.007129,0.007129,0.007129
31,1173.17,0.2669,0.83497,0.96393,0.63128,0.00703,0.00703,0.00703
32,1210.07,0.25745,0.84368,0.96555,0.60517,0.006931,0.006931,0.006931
33,1247.47,0.27993,0.84181,0.96568,0.6258,0.006832,0.006832,0.006832
